,Total,Sack,Int,PD,FF,team,opp,weekn,home,points,pass_Comp,pass_Att,pass_Yds,pass_TD,rush_Rush,rush_Yds,rush_Avg,rush_TD,rec_Rec,rec_Yds,rec_Avg
0,71.0,1.0,0.0,4.0,1.0,kc,det,1,1,21,22,35,253,1,34.0,118.0,12.3,1.0,22.0,253.0,81.1
1,49.0,0.0,1.0,5.0,0.0,det,kc,1,0,20,21,39,226,2,23.0,90.0,14.1,0.0,21.0,226.0,110.3
2,70.0,5.0,3.0,4.0,1.0,nyj,buf,1,1,16,29,41,236,1,22.0,97.0,20.8,0.0,29.0,236.0,65.3
3,60.0,3.0,1.0,2.0,1.0,buf,nyj,1,0,22,14,22,140,1,28.0,172.0,22.7,0.0,14.0,140.0,66.5
4,58.0,0.0,0.0,4.0,1.0,nyg,dal,1,1,40,13,25,143,0,30.0,122.0,21.0,3.0,13.0,143.0,57.3
5,64.0,7.0,2.0,8.0,3.0,dal,nyg,1,0,0,17,30,110,0,28.0,108.0,17.1,0.0,17.0,110.0,56.5
6,81.0,0.0,0.0,1.0,0.0,sea,lar,1,1,30,24,38,334,0,40.0,92.0,8.5,3.0,24.0,334.0,75.0
7,49.0,2.0,0.0,1.0,0.0,lar,sea,1,0,13,16,26,112,1,18.0,85.0,17.0,0.0,16.0,112.0,56.3
8,67.0,3.0,0.0,5.0,3.0,pit,sf,1,1,30,19,29,220,2,34.0,188.0,18.6,1.0,19.0,220.0,39.1
9,55.0,5.0,2.0,4.0,0.0,sf,pit,1,0,7,31,46,232,1,10.0,41.0,11.2,0.0,31.0,232.0,63.6
10,51.0,3.0,3.0,11.0,0.0,no,ten,1,1,15,16,34,198,0,22.0,104.0,23.9,0.0,16.0,198.0,61.8
11,64.0,4.0,1.0,4.0,2.0,ten,no,1,0,16,23,33,305,1,27.0,69.0,15.6,0.0,23.0,305.0,59.5
12,62.0,3.0,0.0,4.0,1.0,ne,phi,1,1,25,22,33,170,1,25.0,97.0,14.0,0.0,22.0,170.0,38.5
13,73.0,2.0,1.0,10.0,2.0,phi,ne,1,0,20,35,54,316,3,22.0,76.0,20.7,0.0,35.0,316.0,70.19999999999999
14,56.0,1.0,0.0,4.0,0.0,chi,gb,1,1,38,15,27,245,3,32.0,92.0,12.5,1.0,15.0,245.0,107.7
15,71.0,4.0,1.0,6.0,1.0,gb,chi,1,0,20,24,37,216,1,29.0,122.0,16.8,1.0,24.0,216.0,63.7
16,45.0,0.0,1.0,10.0,0.0,lac,mia,1,1,36,28,45,466,3,20.0,70.0,16.9,1.0,28.0,466.0,104.5
17,86.0,3.0,0.0,1.0,0.0,mia,lac,1,0,34,23,33,229,1,40.0,233.0,21.4,3.0,23.0,229.0,67.1
18,54.0,0.0,1.0,5.0,0.0,den,lv,1,1,17,20,26,200,2,29.0,61.0,5.7,0.0,20.0,200.0,61.5
19,61.0,2.0,0.0,1.0,0.0,lv,den,1,0,16,27,34,177,2,22.0,94.0,10.1,0.0,27.0,177.0,57.900000000000006
20,62.0,3.0,0.0,3.0,2.0,was,ari,1,1,16,21,30,132,0,25.0,96.0,37.6,0.0,21.0,132.0,46.4
21,67.0,6.0,1.0,7.0,2.0,ari,was,1,0,20,19,31,202,1,28.0,92.0,19.9,1.0,19.0,202.0,79.1
22,70.0,1.0,0.0,5.0,0.0,min,tb,1,1,20,21,34,173,2,33.0,73.0,10.7,0.0,21.0,173.0,49.2
23,65.0,2.0,1.0,3.0,1.0,tb,min,1,0,17,33,44,344,2,17.0,41.0,5.4,0.0,33.0,344.0,82.2
24,76.0,5.0,0.0,4.0,1.0,bal,hou,1,1,9,28,44,242,0,23.0,72.0,9.6,0.0,28.0,242.0,73.3
25,63.0,3.0,1.0,1.0,1.0,hou,bal,1,0,25,17,22,169,0,32.0,110.0,18.700000000000003,3.0,17.0,169.0,50.4
26,74.0,2.0,1.0,3.0,3.0,ind,jax,1,1,31,24,32,241,2,35.0,105.0,4.199999999999999,2.0,24.0,241.0,47.8
27,65.0,4.0,1.0,5.0,2.0,jax,ind,1,0,21,24,39,223,1,26.0,65.0,11.1,1.0,24.0,223.0,77.7
28,74.0,2.0,2.0,4.0,1.0,atl,car,1,1,10,20,38,146,1,32.0,154.0,18.9,0.0,20.0,146.0,55.2
29,54.0,4.0,0.0,0.0,1.0,car,atl,1,0,24,15,18,115,1,26.0,130.0,9.6,2.0,15.0,115.0,37.099999999999994
30,43.0,2.0,0.0,4.0,0.0,cle,cin,1,1,3,14,32,82,0,20.0,75.0,13.8,0.0,14.0,82.0,23.2
31,76.0,3.0,1.0,5.0,1.0,cin,cle,1,0,24,16,29,154,1,40.0,206.0,26.8,1.0,16.0,154.0,70.4
32,79.0,6.0,1.0,8.0,4.0,pit,cle,2,1,22,22,40,235,1,35.0,198.0,22.2,1.0,22.0,235.0,63.2
33,44.0,2.0,1.0,7.0,1.0,cle,pit,2,0,26,15,30,222,1,21.0,55.0,4.1,0.0,15.0,222.0,71.3
34,69.0,4.0,1.0,7.0,0.0,car,no,2,1,20,22,37,236,0,33.0,134.0,13.0,2.0,22.0,236.0,53.5
35,55.0,4.0,0.0,2.0,1.0,no,car,2,0,17,22,33,153,1,19.0,100.0,35.1,0.0,22.0,153.0,46.2
36,58.0,1.0,1.0,3.0,0.0,ne,mia,2,1,24,21,30,249,1,30.0,145.0,16.5,2.0,21.0,249.0,87.5
37,74.0,4.0,1.0,6.0,1.0,mia,ne,2,0,17,31,42,231,1,25.0,88.0,10.9,1.0,31.0,231.0,50.49999999999999
38,56.0,0.0,0.0,1.0,1.0,hou,ind,2,1,31,25,33,227,1,23.0,126.0,18.1,3.0,25.0,227.0,86.9
39,69.0,6.0,0.0,2.0,1.0,ind,hou,2,0,20,30,47,384,2,26.0,52.0,8.9,0.0,30.0,384.0,94.5
