,Player,Opp,PPR PTS,0.5 PPR,STD PTS,C/A,PCT,YDS,TD,INT,RUSH,YDS.1,AVG,TD.1,REC,TAR,YDS.2,AVG.1,TD.2,2PC,FUM,Name,pos,team,weekn
0,"Marcedes Lewis (TE, CHI)",@WAS,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Marcedes Lewis,TE, chi,5
1,"Josh Johnson (QB, BAL)",@PIT,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Josh Johnson,QB, bal,5
2,"Matthew Slater (WR, NE)",NO,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Matthew Slater,WR, ne,5
3,"Brian Hoyer (QB, LV)",GB,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Brian Hoyer,QB, lv,5
4,"Matthew Stafford (QB, LAR)",PHI,16.88,20.88,20.88,21/37,56.8%,222,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Matthew Stafford,QB, lar,5
5,"Jimmy Graham (TE, NO)",@NE,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0,Jimmy Graham,TE, no,5
6,"Tyrod Taylor (QB, NYG)",@MIA,4.84,4.84,4.84,9/12,75%,86,0,0,3,14,4.7,0,0,0,0,0.0,0,0,0,Tyrod Taylor,QB, nyg,5
7,"Andy Dalton (QB, CAR)",@DET,0.1,0.1,0.1,0/0,0%,0,0,0,1,1,1.0,0,0,0,0,0.0,0,0,0,Andy Dalton,QB, car,5
8,"Blaine Gabbert (QB, KC)",@MIN,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Blaine Gabbert,QB, kc,5
9,"Randall Cobb (WR, NYJ)",@DEN,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0,Randall Cobb,WR, nyj,5
10,"Brandon Bolden (RB, LV)",GB,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Brandon Bolden,RB, lv,5
11,"Ryan Tannehill (QB, TEN)",@IND,10.76,10.76,10.76,23/34,67.6%,264,0,1,2,12,6.0,0,0,0,0,0.0,0,0,0,Ryan Tannehill,QB, ten,5
12,"Marvin Jones Jr. (WR, DET)",CAR,4.2,3.2,2.2,0/0,0%,0,0,0,0,0,0.0,0,2,2,22,11.0,0,0,0,Marvin Jones Jr.,WR, det,5
13,"Kirk Cousins (QB, MIN)",KC,18.86,22.86,22.86,29/47,61.7%,284,2,0,3,5,1.7,0,0,0,0,0.0,0,0,1,Kirk Cousins,QB, min,5
14,"Russell Wilson (QB, DEN)",NYJ,17.74,21.74,21.74,20/31,64.5%,196,2,0,7,49,7.0,0,0,0,0,0.0,0,0,2,Russell Wilson,QB, den,5
15,"Zach Ertz (TE, ARI)",CIN,9.0,8.0,7.0,0/0,0%,0,0,0,0,0,0.0,0,2,4,10,5.0,1,0,0,Zach Ertz,TE, ari,5
16,"Robert Woods (WR, HOU)",@ATL,6.0,4.5,3.0,0/0,0%,0,0,0,0,0,0.0,0,3,9,30,10.0,0,0,0,Robert Woods,WR, hou,5
17,"Kyle Juszczyk (RB, SF)",DAL,12.6,10.6,8.6,0/0,0%,0,0,0,0,0,0.0,0,4,4,26,6.5,1,0,0,Kyle Juszczyk,RB, sf,5
18,"DeAndre Hopkins (WR, TEN)",@IND,22.0,18.0,14.0,0/0,0%,0,0,0,0,0,0.0,0,8,11,140,17.5,0,0,0,DeAndre Hopkins,WR, ten,5
19,"Travis Kelce (TE, KC)",@MIN,22.7,17.7,12.7,0/0,0%,0,0,0,0,0,0.0,0,10,11,67,6.7,1,0,0,Travis Kelce,TE, kc,5
20,"Latavius Murray (RB, BUF)",JAX,1.7,1.2,0.7,0/0,0%,0,0,0,2,6,3.0,0,1,1,1,1.0,0,0,0,Latavius Murray,RB, buf,5
21,"Cordarrelle Patterson (RB, ATL)",HOU,1.7,1.2,0.7,0/0,0%,0,0,0,0,0,0.0,0,1,1,7,7.0,0,0,0,Cordarrelle Patterson,RB, atl,5
22,"Adam Thielen (WR, CAR)",@DET,27.7,22.2,16.7,0/0,0%,0,0,0,0,0,0.0,0,11,13,107,9.7,1,0,0,Adam Thielen,WR, car,5
23,"Case Keenum (QB, HOU)",@ATL,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Case Keenum,QB, hou,5
24,"Jimmy Garoppolo (QB, LV)",GB,11.72,13.72,13.72,22/31,71%,208,1,1,4,4,1.0,0,0,0,0,0.0,0,0,0,Jimmy Garoppolo,QB, lv,5
25,"Allen Robinson II (WR, PIT)",BAL,7.9,5.4,2.9,0/0,0%,0,0,0,0,0,0.0,0,5,9,29,5.8,0,0,0,Allen Robinson II,WR, pit,5
26,"Derek Carr (QB, NO)",@NE,15.72,19.72,19.72,18/26,69.2%,183,2,0,2,4,2.0,0,0,0,0,0.0,0,0,0,Derek Carr,QB, no,5
27,"Keith Smith (RB, ATL)",HOU,3.8,3.3,2.8,0/0,0%,0,0,0,0,0,0.0,0,1,1,28,28.0,0,0,0,Keith Smith,RB, atl,5
28,"Odell Beckham Jr. (WR, BAL)",@PIT,3.3,2.3,1.3,0/0,0%,0,0,0,0,0,0.0,0,2,4,13,6.5,0,0,0,Odell Beckham Jr.,WR, bal,5
29,"Davante Adams (WR, LV)",GB,8.5,6.5,4.5,0/0,0%,0,0,0,0,0,0.0,0,4,4,45,11.2,0,0,0,Davante Adams,WR, lv,5
30,"Teddy Bridgewater (QB, DET)",CAR,-0.2,-0.2,-0.2,0/0,0%,0,0,0,2,-2,-1.0,0,0,0,0,0.0,0,0,0,Teddy Bridgewater,QB, det,5
31,"Jerick McKinnon (RB, KC)",@MIN,4.5,3.5,2.5,0/0,0%,0,0,0,1,7,7.0,0,2,3,18,9.0,0,0,0,Jerick McKinnon,RB, kc,5
32,"Brandin Cooks (WR, DAL)",@SF,2.3,1.8,1.3,0/0,0%,0,0,0,1,6,6.0,0,1,4,7,7.0,0,0,0,Brandin Cooks,WR, dal,5
33,"Logan Thomas (TE, WAS)",CHI,20.7,16.2,11.7,0/0,0%,0,0,0,0,0,0.0,0,9,11,77,8.6,1,0,1,Logan Thomas,TE, was,5
34,"Jameis Winston (QB, NO)",@NE,-0.4,-0.4,-0.4,0/0,0%,0,0,0,3,-4,-1.3,0,0,0,0,0.0,0,0,0,Jameis Winston,QB, no,5
35,"Marcus Mariota (QB, PHI)",@LAR,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Marcus Mariota,QB, phi,5
36,"DeVante Parker (WR, NE)",NO,4.0,3.0,2.0,0/0,0%,0,0,0,0,0,0.0,0,2,4,20,10.0,0,0,0,DeVante Parker,WR, ne,5
37,"Nelson Agholor (WR, BAL)",@PIT,9.4,7.4,5.4,0/0,0%,0,0,0,0,0,0.0,0,4,5,64,16.0,0,0,1,Nelson Agholor,WR, bal,5
38,"Ameer Abdullah (RB, LV)",GB,2.5,2.0,1.5,0/0,0%,0,0,0,1,4,4.0,0,1,1,11,11.0,0,0,0,Ameer Abdullah,RB, lv,5
39,"Tyler Kroft (TE, MIA)",NYG,0.0,0.0,0.0,0/0,0%,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,Tyler Kroft,TE, mia,5
40,"Ty Montgomery II (WR, NE)",NO,1.5,1.0,0.5,0/0,0%,0,0,0,1,0,0.0,0,1,4,5,5.0,0,0,0,Ty Montgomery II,WR, ne,5
