,Rushing,Rush,Yds,Avg,Long,TD,FL,opp,weekn
0,Patrick Mahomes,6,45,7.5,16,0,0,det,1
1,Isiah Pacheco,8,23,2.9,7,0,0,det,1
2,Clyde Edwards-Helaire,6,22,3.7,5,0,0,det,1
3,Skyy Moore,1,4,4.0,4,0,0,det,1
4,Kadarius Toney,1,-1,-1.0,-1,0,0,det,1
5,Rashee Rice,1,-3,-3.0,-3,0,0,det,1
6,David Montgomery,21,74,3.5,8,1,0,kc,1
7,Jahmyr Gibbs,7,42,6.0,18,0,0,kc,1
8,Jalen Reeves-Maybin,1,3,3.0,3,0,0,kc,1
9,Jared Goff,5,-1,-0.2,2,0,0,kc,1
10,Breece Hall,10,127,12.7,83,0,0,buf,1
11,Dalvin Cook,13,33,2.5,10,0,0,buf,1
12,Zach Wilson,4,6,1.5,6,0,0,buf,1
13,Michael Carter,1,6,6.0,6,0,0,buf,1
14,James Cook,12,46,3.8,13,0,0,nyj,1
15,Josh Allen,6,36,6.0,14,0,1,nyj,1
16,Latavius Murray,2,8,4.0,6,0,0,nyj,1
17,Deonte Harty,1,4,4.0,4,0,0,nyj,1
18,Damien Harris,1,3,3.0,3,0,0,nyj,1
19,Saquon Barkley,12,51,4.3,18,0,0,dal,1
20,Daniel Jones,13,43,3.3,11,0,0,dal,1
21,Matt Breida,2,9,4.5,6,0,0,dal,1
22,Gary Brightwell,1,5,5.0,5,0,0,dal,1
23,Tony Pollard,14,70,5.0,25,2,0,nyg,1
24,Rico Dowdle,6,24,4.0,10,0,0,nyg,1
25,KaVontae Turpin,3,14,4.7,7,1,0,nyg,1
26,Deuce Vaughn,6,8,1.3,5,0,0,nyg,1
27,Dak Prescott,1,6,6.0,6,0,0,nyg,1
28,Kenneth Walker III,12,64,5.3,15,0,0,lar,1
29,Zach Charbonnet,3,11,3.7,9,0,0,lar,1
30,Geno Smith,1,6,6.0,6,0,0,lar,1
31,DeeJay Dallas,2,4,2.0,5,0,0,lar,1
32,Kyren Williams,15,52,3.5,9,2,0,sea,1
33,Cam Akers,22,29,1.3,12,1,0,sea,1
34,Matthew Stafford,3,11,3.7,9,0,0,sea,1
35,Najee Harris,6,31,5.2,24,0,0,sf,1
36,Jaylen Warren,3,6,2.0,3,0,0,sf,1
37,Kenny Pickett,1,4,4.0,4,0,0,sf,1
38,Christian McCaffrey,22,152,6.9,65,1,0,pit,1
39,Brock Purdy,3,20,6.7,17,0,0,pit,1
40,Elijah Mitchell,5,10,2.0,4,0,0,pit,1
41,Deebo Samuel,2,8,4.0,5,0,0,pit,1
42,Sam Darnold,2,-2,-1.0,-1,0,0,pit,1
43,Jamaal Williams,18,45,2.5,11,0,0,ten,1
44,Rashid Shaheed,2,11,5.5,6,0,0,ten,1
45,Tony Jones Jr.,1,5,5.0,5,0,0,ten,1
46,Derek Carr,3,4,1.3,7,0,0,ten,1
47,Taysom Hill,3,4,1.3,4,0,0,ten,1
48,Derrick Henry,15,63,4.2,18,0,0,no,1
49,Tyjae Spears,3,27,9.0,17,0,0,no,1
50,Treylon Burks,1,9,9.0,9,0,0,no,1
51,Ryan Tannehill,3,5,1.7,2,0,0,no,1
52,Ezekiel Elliott,7,29,4.1,11,0,0,phi,1
53,Rhamondre Stevenson,12,25,2.1,5,0,0,phi,1
54,Mac Jones,2,15,7.5,8,0,0,phi,1
55,Ty Montgomery II,1,7,7.0,7,0,0,phi,1
56,Kenneth Gainwell,14,54,3.9,16,0,0,ne,1
57,Jalen Hurts,9,37,4.1,14,0,1,ne,1
58,Boston Scott,1,3,3.0,3,0,0,ne,1
59,D'Andre Swift,1,3,3.0,3,0,0,ne,1
60,Justin Fields,9,59,6.6,10,0,0,gb,1
61,Khalil Herbert,9,27,3.0,12,0,0,gb,1
62,Roschon Johnson,5,20,4.0,11,1,0,gb,1
63,D'Onta Foreman,5,16,3.2,11,0,0,gb,1
64,Cole Kmet,1,0,0.0,0,0,0,gb,1
65,Aaron Jones,9,41,4.6,9,1,0,chi,1
66,Patrick Taylor,5,22,4.4,10,0,0,chi,1
67,AJ Dillon,13,19,1.5,7,0,0,chi,1
